Circuit_Type,No_Of_Transistors,Activity_Factor,Capacitance,Leakage_current,Short_ckt_Current,Short_ckt_Power,Static_Power,Dynamic_Power
OR,6,0.414,9.043076e-07,2.1634e-08,1.4839e-08,1.4839e-08,2.1634e-08,1.8719167e-07
XOR,10,0.199,1.840115e-08,2.1448e-08,1.8165e-08,1.8165e-08,2.1448e-08,1.83091e-09
AND,6,0.522,2.245174e-07,2.3794e-08,2.088e-09,2.088e-09,2.3794e-08,5.859904e-08
D Flip-Flop,18,0.909,8.2891485e-07,1.992e-09,1.9178e-08,1.9178e-08,1.992e-09,3.767418e-07
OR,6,0.806,6.7387425e-07,1.3467e-08,7.839e-09,7.839e-09,1.3467e-08,2.7157132e-07
NOR,4,0.075,8.9544596e-07,1.6252e-08,2.015e-08,2.015e-08,1.6252e-08,3.357922e-08
OR,6,0.696,6.660786e-08,1.7795e-08,1.2778e-08,1.2778e-08,1.7795e-08,2.317954e-08
AND,6,0.576,6.0099433e-07,1.6132e-08,6.938e-09,6.938e-09,1.6132e-08,1.7308637e-07
D Flip-Flop,18,0.908,5.7335611e-07,1.9273e-08,2.3824e-08,2.3824e-08,1.9273e-08,2.6030367e-07
XOR,10,0.131,4.531767e-08,9.051e-09,1.915e-08,1.915e-08,9.051e-09,2.96831e-09
AND,6,0.539,5.1838686e-07,4.568e-09,2.4644e-08,2.4644e-08,4.568e-09,1.3970526e-07
AND,6,0.881,6.1342511e-07,5.194e-09,9.175e-09,9.175e-09,5.194e-09,2.7021376e-07
NOR,4,0.416,1.9938024e-07,3.98e-10,1.6266e-08,1.6266e-08,3.98e-10,4.147109e-08
Mux,16,0.487,2.8059629e-07,8.823e-09,1.5329e-08,1.5329e-08,8.823e-09,6.83252e-08
D Flip-Flop,18,0.08,6.4394387e-07,2.384e-09,1.722e-08,1.722e-08,2.384e-09,2.575775e-08
NAND,4,0.285,4.7361794e-07,8.105e-09,1.054e-09,1.054e-09,8.105e-09,6.749056e-08
AND,6,0.331,8.5943352e-07,1.5742e-08,7.364e-09,7.364e-09,1.5742e-08,1.4223625e-07
Mux,16,0.946,3.4895795e-07,2.2373e-08,2.2743e-08,2.2743e-08,2.2373e-08,1.6505711e-07
NAND,4,0.29,2.7399306e-07,2.1006e-08,1.0653e-08,1.0653e-08,2.1006e-08,3.972899e-08
D Flip-Flop,18,0.466,9.8501728e-07,6.392e-09,2.402e-08,2.402e-08,6.392e-09,2.2950903e-07
Inverter,2,0.675,9.1202441e-07,3.439e-09,5.416e-09,5.416e-09,3.439e-09,3.0780824e-07
Mux,16,0.171,3.870282e-08,4.907e-09,2.4936e-08,2.4936e-08,4.907e-09,3.30909e-09
XNOR,10,0.492,7.7302133e-07,2.4278e-08,1.747e-08,1.747e-08,2.4278e-08,1.9016325e-07
Inverter,2,0.741,1.1923143e-07,1.3782e-08,1.9432e-08,1.9432e-08,1.3782e-08,4.417524e-08
NOR,4,0.868,3.721034e-08,4.644e-09,9.982e-09,9.982e-09,4.644e-09,1.614929e-08
OR,6,0.63,2.8095856e-07,2.1035e-08,2.2685e-08,2.2685e-08,2.1035e-08,8.850195e-08
XOR,10,0.672,2.7665242e-07,9.94e-09,1.3682e-08,1.3682e-08,9.94e-09,9.295521e-08
XNOR,10,0.135,8.2112557e-07,2.2491e-08,1.7055e-08,1.7055e-08,2.2491e-08,5.542598e-08
NOR,4,0.946,7.1356057e-07,6.591e-09,2.461e-09,2.461e-09,6.591e-09,3.3751415e-07
D Flip-Flop,18,0.141,9.8179333e-07,9.891e-09,1.5829e-08,1.5829e-08,9.891e-09,6.921643e-08
NOR,4,0.777,7.1439777e-07,1.2673e-08,2.1989e-08,2.1989e-08,1.2673e-08,2.7754353e-07
OR,6,0.272,4.24073e-07,2.2326e-08,4.539e-09,4.539e-09,2.2326e-08,5.767393e-08
D Flip-Flop,18,0.934,7.0193838e-07,2.1732e-08,1.8469e-08,1.8469e-08,2.1732e-08,3.2780522e-07
XNOR,10,0.723,9.9946448e-07,1.4401e-08,7.32e-10,7.32e-10,1.4401e-08,3.6130641e-07
OR,6,0.756,7.1304046e-07,5.622e-09,2.3162e-08,2.3162e-08,5.622e-09,2.6952929e-07
NAND,4,0.227,7.6406454e-07,1.0144e-08,2.4575e-08,2.4575e-08,1.0144e-08,8.672133e-08
XOR,10,0.449,9.3898137e-07,2.4393e-08,8.919e-09,8.919e-09,2.4393e-08,2.1080132e-07
XNOR,10,0.622,1.2251475e-07,1.5234e-08,2.766e-09,2.766e-09,1.5234e-08,3.810209e-08
NAND,4,0.772,7.0773645e-07,1.9549e-08,1.6499e-08,1.6499e-08,1.9549e-08,2.7318627e-07
XNOR,10,0.113,8.522979e-07,1.1302e-08,8.43e-10,8.43e-10,1.1302e-08,4.815483e-08
D Flip-Flop,18,0.963,9.5483481e-07,1.3347e-08,1.2114e-08,1.2114e-08,1.3347e-08,4.5975296e-07
NAND,4,0.891,2.188596e-07,1.0781e-08,6.867e-09,6.867e-09,1.0781e-08,9.750195e-08
XOR,10,0.278,5.0888972e-07,1.7603e-08,1.1886e-08,1.1886e-08,1.7603e-08,7.073567e-08
OR,6,0.825,6.837493e-07,2.1302e-08,5.55e-10,5.55e-10,2.1302e-08,2.8204659e-07
AND,6,0.523,2.5499305e-07,1.2733e-08,1.385e-09,1.385e-09,1.2733e-08,6.668068e-08
NOR,4,0.467,6.0446813e-07,1.2074e-08,4.98e-10,4.98e-10,1.2074e-08,1.4114331e-07
Inverter,2,0.321,2.6500299e-07,8.573e-09,1.5516e-08,1.5516e-08,8.573e-09,4.253298e-08
XOR,10,0.585,3.4012245e-07,4.51e-09,1.4046e-08,1.4046e-08,4.51e-09,9.948582e-08
NAND,4,0.733,4.4710351e-07,2.3487e-08,5.906e-09,5.906e-09,2.3487e-08,1.6386344e-07
AND,6,0.417,5.338982e-07,7.97e-09,1.6201e-08,1.6201e-08,7.97e-09,1.1131777e-07
XOR,10,0.633,4.5487221e-07,2.0037e-08,2.2117e-08,2.2117e-08,2.0037e-08,1.4396705e-07
NAND,4,0.702,4.9826356e-07,1.7912e-08,7.005e-09,7.005e-09,1.7912e-08,1.7489051e-07
Mux,16,0.714,3.0560287e-07,1.9794e-08,2.0817e-08,2.0817e-08,1.9794e-08,1.0910022e-07
Mux,16,0.061,1.6737544e-07,2.3426e-08,1.6596e-08,1.6596e-08,2.3426e-08,5.10495e-09
XOR,10,0.861,5.687648e-08,1.5622e-08,9.42e-10,9.42e-10,1.5622e-08,2.448532e-08
Mux,16,0.464,2.0401894e-07,2.2459e-08,9.441e-09,9.441e-09,2.2459e-08,4.733239e-08
NAND,4,0.27,5.8612421e-07,4.276e-09,1.2743e-08,1.2743e-08,4.276e-09,7.912677e-08
NAND,4,0.249,7.8825429e-07,1.5705e-08,1.8319e-08,1.8319e-08,1.5705e-08,9.813766e-08
XOR,10,0.488,1.7755512e-07,1.933e-08,7.25e-09,7.25e-09,1.933e-08,4.332345e-08
AND,6,0.888,1.174698e-07,6.864e-09,2.457e-08,2.457e-08,6.864e-09,5.215659e-08
OR,6,0.385,7.5179746e-07,1.8545e-08,1.7145e-08,1.7145e-08,1.8545e-08,1.4472101e-07
XNOR,10,0.752,3.1210675e-07,1.9484e-08,9.383e-09,9.383e-09,1.9484e-08,1.1735214e-07
AND,6,0.106,9.5198444e-07,2.0797e-08,2.516e-09,2.516e-09,2.0797e-08,5.045518e-08
D Flip-Flop,18,0.481,7.1717479e-07,7.891e-09,4.616e-09,4.616e-09,7.891e-09,1.7248054e-07
NAND,4,0.992,3.3348849e-07,1.7072e-08,1.2241e-08,1.2241e-08,1.7072e-08,1.6541029e-07
D Flip-Flop,18,0.773,2.9664732e-07,7.676e-09,1.2418e-08,1.2418e-08,7.676e-09,1.1465419e-07
AND,6,0.218,5.284614e-07,1.8502e-08,1.9216e-08,1.9216e-08,1.8502e-08,5.760229e-08
XNOR,10,0.506,8.835322e-08,1.1628e-08,1.8182e-08,1.8182e-08,1.1628e-08,2.235336e-08
XNOR,10,0.241,1.2649975e-07,1.4979e-08,5.112e-09,5.112e-09,1.4979e-08,1.524322e-08
Inverter,2,0.415,1.840993e-07,1.0454e-08,1.4914e-08,1.4914e-08,1.0454e-08,3.82006e-08
XNOR,10,0.782,7.7697636e-07,4.133e-09,6.13e-10,6.13e-10,4.133e-09,3.0379776e-07
OR,6,0.774,5.1871879e-07,4.533e-09,1.0024e-08,1.0024e-08,4.533e-09,2.0074417e-07
XNOR,10,0.236,2.046145e-08,2.031e-09,1.9126e-08,1.9126e-08,2.031e-09,2.41445e-09
AND,6,0.923,6.7678136e-07,1.549e-08,1.0048e-08,1.0048e-08,1.549e-08,3.123346e-07
Inverter,2,0.597,4.2945328e-07,2.1231e-08,2.0906e-08,2.0906e-08,2.1231e-08,1.281918e-07
AND,6,0.386,5.1574384e-07,6.19e-10,2.4406e-08,2.4406e-08,6.19e-10,9.953856e-08
AND,6,0.507,2.2197508e-07,1.749e-09,1.522e-08,1.522e-08,1.749e-09,5.627068e-08
NOR,4,0.609,5.5626441e-07,1.1491e-08,3.711e-09,3.711e-09,1.1491e-08,1.6938251e-07
Inverter,2,0.564,9.7936171e-07,1.8469e-08,9.554e-09,9.554e-09,1.8469e-08,2.7618e-07
AND,6,0.492,8.271024e-08,4.027e-09,3.36e-10,3.36e-10,4.027e-09,2.034672e-08
NOR,4,0.51,2.9107823e-07,6.864e-09,1.5108e-08,1.5108e-08,6.864e-09,7.422495e-08
NOR,4,0.185,2.5056762e-07,5.877e-09,2.0557e-08,2.0557e-08,5.877e-09,2.31775e-08
Inverter,2,0.815,2.5606382e-07,1.0036e-08,1.5786e-08,1.5786e-08,1.0036e-08,1.0434601e-07
D Flip-Flop,18,0.546,3.8491929e-07,5.702e-09,1.9674e-08,1.9674e-08,5.702e-09,1.0508297e-07
